"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"541","#Oscars2017 #PerfectoParatuVida Honestamente yo creo que Moana ganara como mejor película animada, aunque no dudemos que gane Zootopia",FALSE,0,NA,2017-02-27 02:41:33,FALSE,NA,"836043564484280321",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","YadethIsaac",0,FALSE,FALSE,NA,NA
"542","#Oscars Sólo espero que Isabelle Huppert le gane a Emma Stone en mejor actriz. Cómo película (y otros 6) La la land debe ganar.",FALSE,0,NA,2017-02-27 02:40:38,FALSE,NA,"836043333034180608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JulioSalazar98",0,FALSE,FALSE,NA,NA
"543","RT @HypnosMorfeo: Siempre considere los Oscars como la fiesta de las peliculas sobre valoradas, pero espero que gane Arrival como mejor pel…",FALSE,0,NA,2017-02-27 02:40:36,FALSE,NA,"836043324930809856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SalvajeRockPy",7,TRUE,FALSE,NA,NA
"544","RT @Maanuchaaaa: Que gane hacksaw ridge a mejor película <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5> #Oscars2017. https://t.co/65ySrv9Ywa",FALSE,0,NA,2017-02-27 02:40:12,FALSE,NA,"836043224292687872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juliomating",4,TRUE,FALSE,NA,NA
"545","#OscarsporelSNT que gane #Lion la mejor película #Oscars",FALSE,0,NA,2017-02-27 02:38:20,FALSE,NA,"836042757609259008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gaby_vml",0,FALSE,FALSE,NA,NA
"546","Lo que más quiero de está noche es poder decir agarrense La La Land no ganó mejor película. #Oscars",FALSE,0,NA,2017-02-27 02:38:17,FALSE,NA,"836042741532483584",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JuanJoFreire",0,FALSE,FALSE,NA,NA
"547","RT @Maanuchaaaa: Que gane hacksaw ridge a mejor película <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5> #Oscars2017. https://t.co/65ySrv9Ywa",FALSE,0,NA,2017-02-27 02:38:03,FALSE,NA,"836042684506701824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Eliiioyola",4,TRUE,FALSE,NA,NA
"548","Ahora necesito que gane La La Land mejor película o serán la burla  #Oscars",FALSE,0,NA,2017-02-27 02:37:52,FALSE,NA,"836042637899673604",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xysvax",0,FALSE,FALSE,NA,NA
"549","#Oscars2017  Que la película MOANA gane el Oscar a mejor película animada, película muy emocionante y muy bien diseñada @DisneyMoana",FALSE,0,NA,2017-02-27 02:37:38,FALSE,NA,"836042577451311105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","araya_isadora",0,FALSE,FALSE,NA,NA
"550","RT @Maanuchaaaa: Que gane hacksaw ridge a mejor película <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5> #Oscars2017. https://t.co/65ySrv9Ywa",FALSE,0,NA,2017-02-27 02:37:32,FALSE,NA,"836042554487484421",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GonzalezFraan_",4,TRUE,FALSE,NA,NA
"551","#Oscars QUE GANE KUBO A MEJOR PELICULA DE ANIMACION!!!",FALSE,0,NA,2017-02-27 02:36:54,FALSE,NA,"836042396496449537",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","marianhagab",0,FALSE,FALSE,NA,NA
